city[Chicago], year[1970], average temperature[0.11]
city[Chicago], year[1971], average temperature[-0.05]
city[Chicago], year[1972], average temperature[0.04]
city[Chicago], year[1973], average temperature[0.01]
city[Chicago], year[1974], average temperature[-0.10]
city[Chicago], year[1975], average temperature[0.22]
city[Chicago], year[1976], average temperature[0.01]
city[Chicago], year[1977], average temperature[0.08]
city[Chicago], year[1978], average temperature[-0.08]
city[Chicago], year[1979], average temperature[-0.11]
city[Chicago], year[1980], average temperature[0.10]
city[Chicago], year[1981], average temperature[-0.06]
city[Chicago], year[1982], average temperature[0.04]
city[Chicago], year[1983], average temperature[-0.00]
city[Chicago], year[1984], average temperature[-0.13]
city[Chicago], year[1985], average temperature[0.06]
city[Chicago], year[1986], average temperature[0.07]
city[Chicago], year[1987], average temperature[-0.08]
city[Chicago], year[1988], average temperature[0.07]
city[Chicago], year[1989], average temperature[-0.14]
city[Chicago], year[1990], average temperature[0.01]
city[Chicago], year[1991], average temperature[-0.03]
city[Chicago], year[1992], average temperature[0.10]
city[Chicago], year[1993], average temperature[-0.20]
city[Chicago], year[1994], average temperature[-0.00]
city[Chicago], year[1995], average temperature[0.06]
city[Chicago], year[1996], average temperature[-0.01]
city[Chicago], year[1997], average temperature[-0.07]
city[Chicago], year[1998], average temperature[-0.05]
city[Chicago], year[1999], average temperature[-0.04]
city[Chicago], year[2000], average temperature[-0.02]
city[Chicago], year[2001], average temperature[-0.05]
city[Chicago], year[2002], average temperature[0.14]
city[Chicago], year[2003], average temperature[-0.06]
city[Chicago], year[2004], average temperature[-0.08]
city[Chicago], year[2005], average temperature[0.00]
city[Chicago], year[2006], average temperature[0.09]
city[Chicago], year[2007], average temperature[-0.03]
city[Chicago], year[2008], average temperature[-0.01]
city[Chicago], year[2009], average temperature[-0.02]
city[Chicago], year[2010], average temperature[-0.03]
city[Chicago], year[2011], average temperature[-0.09]
city[Chicago], year[2012], average temperature[0.00]
city[Chicago], year[2013], average temperature[-0.01]
city[Chicago], year[2014], average temperature[-0.02]
city[Chicago], year[2015], average temperature[-0.03]
city[Chicago], year[2016], average temperature[0.01]
city[Chicago], year[2017], average temperature[-0.07]
city[Chicago], year[2018], average temperature[-0.03]
city[Chicago], year[2019], average temperature[-0.06]
city[Chicago], year[2020], average temperature[2.07]
city[Dallas], year[1970], average temperature[-0.06]
city[Dallas], year[1971], average temperature[-0.03]
city[Dallas], year[1972], average temperature[-0.02]
city[Dallas], year[1973], average temperature[-0.00]
city[Dallas], year[1974], average temperature[0.00]
city[Dallas], year[1975], average temperature[-0.08]
city[Dallas], year[1976], average temperature[0.18]
city[Dallas], year[1977], average temperature[0.11]
city[Dallas], year[1978], average temperature[0.03]
city[Dallas], year[1979], average temperature[-0.07]
city[Dallas], year[1980], average temperature[0.04]
city[Dallas], year[1981], average temperature[0.08]
city[Dallas], year[1982], average temperature[-0.10]
city[Dallas], year[1983], average temperature[0.05]
city[Dallas], year[1984], average temperature[-0.12]
city[Dallas], year[1985], average temperature[0.01]
city[Dallas], year[1986], average temperature[-0.07]
city[Dallas], year[1987], average temperature[-0.03]
city[Dallas], year[1988], average temperature[0.07]
city[Dallas], year[1989], average temperature[0.01]
city[Dallas], year[1990], average temperature[-0.04]
city[Dallas], year[1991], average temperature[0.02]
city[Dallas], year[1992], average temperature[0.10]
city[Dallas], year[1993], average temperature[0.18]
city[Dallas], year[1994], average temperature[0.05]
city[Dallas], year[1995], average temperature[0.01]
city[Dallas], year[1996], average temperature[-0.03]
city[Dallas], year[1997], average temperature[0.05]
city[Dallas], year[1998], average temperature[0.11]
city[Dallas], year[1999], average temperature[0.02]
city[Dallas], year[2000], average temperature[0.02]
city[Dallas], year[2001], average temperature[0.07]
city[Dallas], year[2002], average temperature[-0.05]
city[Dallas], year[2003], average temperature[-0.10]
city[Dallas], year[2004], average temperature[0.09]
city[Dallas], year[2005], average temperature[0.15]
city[Dallas], year[2006], average temperature[0.06]
city[Dallas], year[2007], average temperature[0.04]
city[Dallas], year[2008], average temperature[0.10]
city[Dallas], year[2009], average temperature[0.05]
city[Dallas], year[2010], average temperature[0.07]
city[Dallas], year[2011], average temperature[-0.05]
city[Dallas], year[2012], average temperature[0.09]
city[Dallas], year[2013], average temperature[-0.08]
city[Dallas], year[2014], average temperature[-0.03]
city[Dallas], year[2015], average temperature[-0.07]
city[Dallas], year[2016], average temperature[-0.15]
city[Dallas], year[2017], average temperature[0.11]
city[Dallas], year[2018], average temperature[-0.04]
city[Dallas], year[2019], average temperature[0.04]
city[Dallas], year[2020], average temperature[2.78]
city[Houston], year[1970], average temperature[-0.08]
city[Houston], year[1971], average temperature[0.04]
city[Houston], year[1972], average temperature[-0.01]
city[Houston], year[1973], average temperature[-0.08]
city[Houston], year[1974], average temperature[-0.08]
city[Houston], year[1975], average temperature[0.05]
city[Houston], year[1976], average temperature[0.02]
city[Houston], year[1977], average temperature[0.05]
city[Houston], year[1978], average temperature[0.04]
city[Houston], year[1979], average temperature[-0.07]
city[Houston], year[1980], average temperature[0.08]
city[Houston], year[1981], average temperature[-0.04]
city[Houston], year[1982], average temperature[-0.01]
city[Houston], year[1983], average temperature[0.03]
city[Houston], year[1984], average temperature[0.06]
city[Houston], year[1985], average temperature[0.01]
city[Houston], year[1986], average temperature[0.08]
city[Houston], year[1987], average temperature[-0.04]
city[Houston], year[1988], average temperature[0.04]
city[Houston], year[1989], average temperature[0.08]
city[Houston], year[1990], average temperature[-0.04]
city[Houston], year[1991], average temperature[0.06]
city[Houston], year[1992], average temperature[0.01]
city[Houston], year[1993], average temperature[-0.04]
city[Houston], year[1994], average temperature[-0.06]
city[Houston], year[1995], average temperature[0.00]
city[Houston], year[1996], average temperature[0.11]
city[Houston], year[1997], average temperature[-0.05]
city[Houston], year[1998], average temperature[-0.06]
city[Houston], year[1999], average temperature[0.07]
city[Houston], year[2000], average temperature[0.01]
city[Houston], year[2001], average temperature[0.07]
city[Houston], year[2002], average temperature[0.11]
city[Houston], year[2003], average temperature[0.14]
city[Houston], year[2004], average temperature[-0.12]
city[Houston], year[2005], average temperature[-0.16]
city[Houston], year[2006], average temperature[0.05]
city[Houston], year[2007], average temperature[0.07]
city[Houston], year[2008], average temperature[-0.04]
city[Houston], year[2009], average temperature[0.03]
city[Houston], year[2010], average temperature[0.04]
city[Houston], year[2011], average temperature[0.05]
city[Houston], year[2012], average temperature[-0.10]
city[Houston], year[2013], average temperature[0.10]
city[Houston], year[2014], average temperature[0.02]
city[Houston], year[2015], average temperature[0.00]
city[Houston], year[2016], average temperature[-0.07]
city[Houston], year[2017], average temperature[0.10]
city[Houston], year[2018], average temperature[0.02]
city[Houston], year[2019], average temperature[0.18]
city[Houston], year[2020], average temperature[1.18]
city[Los Angeles], year[1970], average temperature[0.06]
city[Los Angeles], year[1971], average temperature[0.06]
city[Los Angeles], year[1972], average temperature[0.03]
city[Los Angeles], year[1973], average temperature[-0.03]
city[Los Angeles], year[1974], average temperature[0.03]
city[Los Angeles], year[1975], average temperature[-0.01]
city[Los Angeles], year[1976], average temperature[-0.04]
city[Los Angeles], year[1977], average temperature[-0.03]
city[Los Angeles], year[1978], average temperature[-0.07]
city[Los Angeles], year[1979], average temperature[-0.04]
city[Los Angeles], year[1980], average temperature[-0.02]
city[Los Angeles], year[1981], average temperature[-0.10]
city[Los Angeles], year[1982], average temperature[0.06]
city[Los Angeles], year[1983], average temperature[-0.04]
city[Los Angeles], year[1984], average temperature[-0.07]
city[Los Angeles], year[1985], average temperature[0.03]
city[Los Angeles], year[1986], average temperature[-0.04]
city[Los Angeles], year[1987], average temperature[-0.09]
city[Los Angeles], year[1988], average temperature[-0.03]
city[Los Angeles], year[1989], average temperature[0.02]
city[Los Angeles], year[1990], average temperature[-0.06]
city[Los Angeles], year[1991], average temperature[-0.02]
city[Los Angeles], year[1992], average temperature[0.08]
